organization,programme,economic_category,standard_object,appropriation,amount
Financial Consumer Agency of Canada,"Research, Policy and Education",operating,Transportation and communications,statutory,110967.02
Canada Border Services Agency,Funding social sciences and humanities research and training,operating,Repair and maintenance,voted,110957.17
Health Canada,Air Quality,operating,Transportation and communications,voted,110876.05
Canada Border Services Agency,Trade Facilitation and Compliance,operating,"Utilities, materials and supplies",voted,110745.43
National Defence,Cyber Operations,operating,Repair and maintenance,voted,110639.35
Agriculture and Agri-Food Canada,Legal Services,personnel,Personnel,statutory,110566.88
Global Affairs Canada,International Business Development,capital,Acquisition of machinery and equipment,voted,110346.03
Canada Revenue Agency,Reporting Compliance,operating,Rentals,statutory,110288.62
Fisheries and Oceans Canada,Government-Wide Support,operating,Rentals,voted,110160.49
Fisheries and Oceans Canada,Fleet Procurement,operating,Repair and maintenance,statutory,110046.71
Canadian Space Agency,Legal Services,operating,Professional and special services,statutory,110000.4
Environment and Climate Change Canada,Public sector disclosures of wrongdoing and complaints of reprisal,other,Other subsidies and payments,voted,109995.66
Transport Canada,Aviation Safety Oversight,operating,Information,voted,109915.56
Canadian Human Rights Commission,Internal Services,operating,Transportation and communications,voted,109909.14
Royal Canadian Mounted Police,Real Property Management Services,operating,"Utilities, materials and supplies",voted,109737.15
Royal Canadian Mounted Police,Protective Operations,operating,"Utilities, materials and supplies",voted,109587.61
Law Commission of Canada,Internal Services,operating,Rentals,voted,109566.91
Canadian Food Inspection Agency,Real Property Management Services,operating,Transportation and communications,statutory,109492.06
Shared Services Canada,Internal Services,operating,Repair and maintenance,voted,109406.68
National Research Council Canada,"Ocean, Coastal and River Engineering",operating,"Utilities, materials and supplies",statutory,109404.77
Statistics Canada,Communications Services,operating,Professional and special services,voted,109383.13
Public Services and Procurement Canada,Asset Disposal,operating,"Utilities, materials and supplies",voted,109213.56
Natural Resources Canada,Energy Innovation and Clean Technology (EICT),operating,Professional and special services,statutory,109204.45
Parks Canada,Heritage Places Establishment,other,Other subsidies and payments,statutory,109168.44
National Research Council Canada,Automotive and Surface Transportation,operating,Rentals,statutory,109090.63
Canada Border Services Agency,Financial Management Services,operating,Rentals,voted,109086.66
Global Affairs Canada,Communications Services,capital,Acquisition of machinery and equipment,voted,109067.36
Canadian Nuclear Safety Commission,Nuclear Substances and Prescribed Equipment Program,operating,Repair and maintenance,voted,108877.39
Natural Resources Canada,Innovative Geospatial Solutions,capital,Acquisition of machinery and equipment,statutory,108860.75
Canada Revenue Agency,"Policy, Rulings, and Interpretations",capital,Acquisition of machinery and equipment,voted,108848.57
Office of the Intelligence Commissioner,Quasi-judicial Review Program,personnel,Personnel,statutory,108790.19
Canada Energy Regulator,Industry Performance,operating,Transportation and communications,voted,108674.46
Royal Canadian Mounted Police,Specialized Technical Investigative Services,operating,Information,voted,108652.6
National Research Council Canada,Biologics Manufacturing Centre,personnel,Personnel,statutory,108577.52
Accessibility Standards Canada,Outreach and Knowledge Application,operating,Information,voted,108472.08
"Innovation, Science and Economic Development Canada",Talent Development,operating,Information,voted,108373.64
Agriculture and Agri-Food Canada,Trade and Market Expansion,operating,Rentals,voted,108105.63
Polar Knowledge Canada,Science and Technology,other,Other subsidies and payments,voted,108049.36
National Research Council Canada,Digital Technologies,capital,Acquisition of machinery and equipment,voted,108046.08
Public Services and Procurement Canada,Procurement Ombud,operating,Information,voted,108027.28
National Research Council Canada,Herzberg Astronomy & Astrophysics,operating,Repair and maintenance,voted,107970.51
Global Affairs Canada,Locally Engaged Staff Services,other,Other subsidies and payments,voted,107885.94
Atlantic Canada Opportunities Agency,Trade and Investment,operating,Transportation and communications,voted,107611.11
Agriculture and Agri-Food Canada,"Chamber, Committees and Associations",operating,Transportation and communications,voted,107320.62
Public Services and Procurement Canada,Health Care Systems,other,Other subsidies and payments,voted,107320.48
National Research Council Canada,Communications Services,operating,Rentals,voted,107215.34
Natural Resources Canada,Innovative Forestry Solutions,operating,Information,voted,106976.04
Parks Canada,Human Resources Management Services,capital,Acquisition of machinery and equipment,voted,106866.17
Health Canada,Human Resources Management Services,operating,Transportation and communications,voted,106853.7
Transport Canada,Aviation Safety Regulatory Framework,capital,Acquisition of machinery and equipment,voted,106772.06
Environment and Climate Change Canada,Legal Services,personnel,Personnel,statutory,106673.22
Canada Energy Regulator,Regulatory Framework,operating,Professional and special services,voted,106583.12
Natural Resources Canada,Wildfire Risk Management,other,Other subsidies and payments,voted,106439.9
Department of Indigenous Services,Human Resources Management Services,operating,Transportation and communications,voted,106381.73
National Defence,Global Engagement,capital,Acquisition of machinery and equipment,statutory,106088.95
National Defence,Defence Residential Housing Program,other,Other subsidies and payments,voted,105949.55
Library and Archives Canada,Outreach and support to communities,operating,Transportation and communications,voted,105874.41
Pacific Economic Development Agency of Canada,Community Initiatives,capital,Acquisition of machinery and equipment,voted,105749.92
Veterans Affairs Canada,Caregiver Recognition Benefit,operating,Professional and special services,voted,105748.01
Royal Canadian Mounted Police,Operational Policing Support,operating,Information,voted,105614.53
Fisheries and Oceans Canada,Fleet Maintenance,operating,Repair and maintenance,statutory,105592.24
Employment and Social Development Canada,Skills for Success,operating,Information,voted,105571.41
Natural Resources Canada,Canada Lands Survey System,capital,Acquisition of machinery and equipment,statutory,105565.08
Shared Services Canada,Connectivity,other,Other subsidies and payments,voted,105492.08
Canadian Food Inspection Agency,Permissions for Food Products,operating,Repair and maintenance,voted,105480.99
Natural Resources Canada,Geoscience to Keep Canada Safe,operating,Information,voted,105368.49
Pacific Economic Development Agency of Canada,Community Initiatives,operating,Rentals,voted,105357.02
National Defence,Military History and Heritage,operating,"Utilities, materials and supplies",voted,105276.44
Royal Canadian Mounted Police,National Cybercrime Coordination Centre,operating,Professional and special services,unknown,105160.0
Canadian Intergovernmental Conference Secretariat,Internal Services,operating,Transportation and communications,voted,105066.57
Correctional Service Canada,Materiel Management Services,operating,"Utilities, materials and supplies",voted,105039.39
Environment and Climate Change Canada,Human Resources Management Services,operating,Rentals,voted,105013.65
