organization,programme,economic_category,standard_object,appropriation,amount
Canada Border Services Agency,Intelligence Collection and Analysis,personnel,Personnel,voted,108705149.33
House of Commons,Members and House Officers,personnel,Personnel,statutory,108684960.94
National Defence,Internal Services,personnel,Personnel,voted,108230221.31
Canada Revenue Agency,Returns Compliance,personnel,Personnel,statutory,107777776.87
"Immigration, Refugees and Citizenship Canada",Passport,personnel,Personnel,statutory,107360778.44
Natural Resources Canada,Forest Sector Competitiveness,transfers,Transfer payments,unknown,106886239.32
Employment and Social Development Canada,Service Delivery Partnerships,personnel,Personnel,statutory,106558336.72
Public Services and Procurement Canada,Marine Operations and Response,personnel,Personnel,voted,106551388.41
Natural Resources Canada,Energy Innovation and Clean Technology (EICT),personnel,Personnel,voted,105803113.14
Statistics Canada,Cost-Recovered Statistical Services,personnel,Personnel,voted,105575712.96
Telefilm Canada,Funding the production of Canadian content,other,Other subsidies and payments,unknown,105294164.64
National Defence,Environmental Management and Climate Action,operating,Professional and special services,voted,105144452.04
Environment and Climate Change Canada,Internal Services,personnel,Personnel,voted,104643170.9
National Defence,International Operations,operating,Transportation and communications,voted,104474617.51
Canada Border Services Agency,Government-Wide Support,personnel,Personnel,statutory,104254170.37
Social Sciences and Humanities Research Council of Canada,Research Partnerships,transfers,Transfer payments,unknown,103880552.02
Office of the Auditor General of Canada,Legislative Audit,personnel,Personnel,voted,103434101.32
Royal Canadian Mounted Police,Force Generation,personnel,Personnel,voted,103324108.97
Federal Economic Development Agency for Southern Ontario,Business Scale Up and Productivity,transfers,Transfer payments,unknown,101782990.0
Employment and Social Development Canada,New Horizons for Seniors Program,transfers,Transfer payments,unknown,101768900.0
"Immigration, Refugees and Citizenship Canada",Information Technology Services,operating,Professional and special services,voted,101306056.17
Fisheries and Oceans Canada,Fisheries Science,personnel,Personnel,voted,101275689.49
Shared Services Canada,Security,personnel,Personnel,voted,100128306.62
Employment and Social Development Canada,Temporary Foreign Worker Program,personnel,Personnel,voted,99923754.7
National Defence,Ready Joint and Combined Forces,personnel,Personnel,voted,99181353.84
National Defence,Land Equipment Acquisition,operating,Professional and special services,statutory,98939756.23
National Defence,"Ready Health, Military Police and Support Forces",personnel,Personnel,voted,98015731.8
Correctional Service Canada,Mental Health Services,personnel,Personnel,voted,97621141.7
Royal Canadian Mounted Police,Federal Policing Investigations,personnel,Personnel,unknown,97563709.29
Public Services and Procurement Canada,Payments and Revenue Collection,other,Other subsidies and payments,voted,97240685.88
"Innovation, Science and Economic Development Canada",Marketplace Protection and Promotion,personnel,Personnel,voted,96814046.95
"Immigration, Refugees and Citizenship Canada",National Security,personnel,Personnel,voted,96499506.27
Royal Canadian Mounted Police,Provincial/Territorial Policing,capital,Acquisition of machinery and equipment,statutory,96184214.87
Public Services and Procurement Canada,Federal Accommodation and Infrastructure,operating,Repair and maintenance,statutory,96093430.6
Canada Revenue Agency,Objections and Appeals,operating,Professional and special services,voted,95824958.8
Veterans Affairs Canada,Disability Benefits,personnel,Personnel,voted,95740164.77
Canada Revenue Agency,Information Technology Services,operating,Professional and special services,voted,95643186.21
Public Services and Procurement Canada,Parliament Hill and Surroundings,operating,Professional and special services,voted,95590041.8
National Defence,Information Technology Services,personnel,Personnel,voted,95157068.54
Department of Indigenous Services,Indigenous Governance and Capacity Supports,personnel,Personnel,voted,94446574.15
Canada Economic Development for Quebec Regions,Vitality of communities,transfers,Transfer payments,unknown,93917469.0
National Defence,Ready Naval Forces,operating,"Utilities, materials and supplies",voted,93660059.26
National Defence,Intelligence Force Development,operating,Professional and special services,voted,93604037.54
Department of Indigenous Services,Public Health and Disease Prevention,personnel,Personnel,voted,93471657.15
Atlantic Canada Opportunities Agency,Diversified Communities,transfers,Transfer payments,unknown,92856446.0
Public Services and Procurement Canada,Federal Accommodation and Infrastructure,debt_service,Public debt charges,voted,92819413.76
Royal Canadian Mounted Police,Provincial/Territorial Policing,operating,"Utilities, materials and supplies",voted,92721810.96
Department of Indigenous Services,Child and Family Services,operating,Professional and special services,voted,92215795.6
Export Development Canada,Export Development Canada (Canada Account),operating,Professional and special services,statutory,91602705.78
Environment and Climate Change Canada,"Aquatic Ecosystems Health, Substances and Waste Management",personnel,Personnel,voted,91269587.58
Correctional Service Canada,Accommodation Services,personnel,Personnel,voted,91133389.5
National Defence,Ready Naval Forces,operating,Professional and special services,voted,91058368.14
Correctional Service Canada,Human Resources Management Services,personnel,Personnel,voted,91034105.88
"Innovation, Science and Economic Development Canada",Business Innovation,personnel,Personnel,voted,90598679.47
Canada Border Services Agency,Management and Oversight Services,personnel,Personnel,voted,90173284.16
Employment and Social Development Canada,Old Age Security,operating,Professional and special services,voted,89467914.63
Transport Canada,Transportation Infrastructure,transfers,Transfer payments,statutory,89298686.0
Correctional Service Canada,Correctional Programs,personnel,Personnel,voted,89050172.03
Employment and Social Development Canada,Opportunities Fund for Persons with Disabilities,transfers,Transfer payments,unknown,88343119.0
"Innovation, Science and Economic Development Canada",Spectrum and Telecommunications,personnel,Personnel,voted,88205018.28
Canadian Institutes of Health Research,Training and Career Support,transfers,Transfer payments,unknown,88017701.0
Canada Border Services Agency,Funding social sciences and humanities research and training,operating,Professional and special services,voted,87333234.39
Global Affairs Canada,International Security Policy and Diplomacy,transfers,Transfer payments,unknown,87200584.99
National Defence,Real Property Management Services,operating,Rentals,voted,87099129.63
"Immigration, Refugees and Citizenship Canada",Temporary Workers,personnel,Personnel,voted,86986261.93
Employment and Social Development Canada,Canada Student Financial Assistance Program and Canada Apprentice Loan,operating,Professional and special services,statutory,86841594.89
Royal Canadian Mounted Police,Provincial/Territorial Policing,operating,Rentals,voted,86806164.72
"Immigration, Refugees and Citizenship Canada",Internal services – Office of the Privacy Commissioner,personnel,Personnel,voted,86186782.34
Canada Border Services Agency,Human Resources Management Services,personnel,Personnel,voted,85822664.26
National Defence,Defence Team Management,operating,Professional and special services,voted,85260359.28
"Immigration, Refugees and Citizenship Canada",Information Technology Services,personnel,Personnel,voted,85013998.32
Fisheries and Oceans Canada,Conservation and Protection,personnel,Personnel,voted,84852252.54
Parliamentary Protective Service,Physical security,personnel,Personnel,voted,84644423.74
"Innovation, Science and Economic Development Canada",Clean Technology and Clean Growth,transfers,Transfer payments,unknown,84610362.18
Employment and Social Development Canada,Information Technology Services,operating,Rentals,voted,83991328.04
Public Health Agency of Canada,Laboratory Science Leadership and Services,personnel,Personnel,voted,83467705.77
Global Affairs Canada,Canadian Museum for Human Rights,transfers,Transfer payments,unknown,83408060.84
Canadian Museum of History,Canadian Museum of History,other,Other subsidies and payments,unknown,83226822.0
National Defence,Land Bases,operating,Professional and special services,voted,82990868.94
Agriculture and Agri-Food Canada,Case Review,transfers,Transfer payments,unknown,82752423.44
National Defence,Ready Land Forces,operating,"Utilities, materials and supplies",voted,81191674.08
Public Services and Procurement Canada,Federal Accommodation and Infrastructure,personnel,Personnel,voted,80758841.14
Crown-Indigenous Relations and Northern Affairs Canada,Residential Schools Legacy,transfers,Transfer payments,unknown,80689004.0
